RBD|NOM_RBD|COD_REG_RBD|COD_PRO_RBD|COD_COM_RBD|NOM_REGI_N|NOM_PROVINCIA|COD_DEPROV|NOM_DEPROV|NOM_COMUNA|grado|ind_am_rbd|dim_am_aa_rbd|dim_am_me_rbd|ind_cc_rbd|dim_cc_ao_rbd|dim_cc_ar_rbd|dim_cc_as_rbd|ind_hv_rbd|dim_hv_ac_rbd|dim_hv_ha_rbd|dim_hv_va_rbd|ind_pf_rbd|dim_pf_pa_rbd|dim_pf_sp_rbd|dim_pf_vd_rbd|cod_depe2|cod_grupo|cod_rural_rbd
3800|LICEO TIUQUILEMU|8|84|8409||||||2m|74.279339441|71.704648299|76.854030583|74.557437441|80.859798311|70.778115273|72.034398738|74.338915708|76.605887017|71.182019731|75.228840376|80.0845822|78.309059789|80.136547835|81.808138975|1|1|2
3802|LICEO SAN GREGORIO|8|84|8409||||||2m|77.950769821|74.463128247|81.438411395|73.005032348|76.501529465|68.798821653|73.714745924|76.401762466|72.005468183|83.851233398|73.348585816|77.846897677|75.973603381|76.093954084|81.473135567|1|1|1
3823|LICEO JORGE ALESSANDRI RODRIGUEZ|8|84|8417||||||2m|72.412089774|71.232063238|73.592116311|73.871355249|80.992353741|67.04892804|73.572783966|79.747452624|84.585180427|81.717167992|72.940009454|78.689214685|78.206301462|75.840919817|82.020422777|1|1|1
3843||||||||||||||||||||||||||1||2
3865|COLEGIO ADVENTISTA DE CHILE|8|84|8401||||||2m|73.564472616|71.275983614|75.852961618|82.585639772|88.691168658|73.811093219|85.254657439|76.003561949|83.079006831|78.235916237|66.695762779|79.839927063|78.115798866|81.575681864|79.828300459|2|3|2
3871|LICEO POLITÉCNICO JOSÉ MANUEL PINTO ARI|8|84|8411||||||2m|73.091580439|69.406499332|76.776661546|73.207110215|79.083983211|65.630818942|74.906528491|73.187187707|77.011307454|74.408559566|68.1416961|77.590779235|79.188084854|76.206247887|77.378004965|1|1|1
3885|COLEGIO FRANCISCO DE ASIS|8|84|8411||||||2m|76.886142523|75.024394011|78.747891036|78.624626299|82.743794293|73.191280084|79.93880452|77.879763528|74.008179896|82.308224363|77.322886326|83.601879228|83.684456179|84.397486835|82.723694671|2|1|1
3886|LICEO MANUEL JESUS ORTIZ|8|84|8418||||||2m|73.847442154|69.966906611|77.727977698|66.421206732|70.074091023|61.229245147|67.960284027|68.951229919|68.134264768|72.010336029|66.709088961|75.824830914|76.269892594|74.414379444|76.790220704|1|1|1
3887|LICEO PUEBLO SECO|8|84|8418||||||2m|73.408296774|69.501034501|77.315559047|76.341503541|83.824103269|67.73048831|77.469919046|74.843014353|74.667343258|76.409410058|73.452289744|81.49062708|81.439910315|81.421285677|81.610685248|1|1|2
3888|COLEGIO POLITECNICO VICTOR JARA|8|84|8418||||||2m|69.10406703|66.071618342|72.136515717|68.574657897|74.765111567|63.566950972|67.391911154|60.382134978|67.473214626|65.355546344|48.317643964|69.697654397|69.99290363|66.04922898|73.050830579|1|1|2
3907|LICEO POLITÉCNICO MARÍA WARD|8|84|8418||||||2m|76.698499789|73.137861314|80.259138264|82.930667699|88.956513296|76.045005589|83.790484211|81.532664633|81.977650652|87.62041747|74.999925778|83.471857513|78.32152752|85.911509613|86.182535406|2|1|1
3909|LICEO POLIVALENTE JUVENAL HERNÁNDEZ JAQ|8|84|8407||||||2m|68.973619294|64.434047027|73.513191562|71.720271933|77.503933771|65.193522955|72.463359072|73.478987842|77.010119868|74.045736942|69.381106715|75.365696962|76.782988788|71.657794944|77.656307154|1|1|1
3940|LICEO DE YUNGAY|8|84|8421||||||2m|72.374339696|70.008792429|74.739886963|70.716981812|75.65289032|65.861244868|70.636810247|65.863307525|67.258167997|69.613011775|60.718742804|75.928539635|74.809715312|75.932365061|77.043538532|1|1|1
3941|LICEO CAMPANARIO|8|84|8421||||||2m|75.537705689|73.727423238|77.34798814|73.345498661|79.613375268|66.802655291|73.620465423|64.548721636|67.710327172|72.173571541|53.762266194|75.601357703|70.818533287|75.666202087|80.319337734|1|1|1
3960|COLEGIO DIVINA PASTORA|8|84|8421||||||2m|76.5465072|75.547530705|77.545483695|81.395859162|85.077544455|75.290552058|83.819480973|75.29582352|69.54306788|79.165531254|77.178871426|78.380491216|77.157848159|82.003861587|75.979763902|2|3|1
3961|LICEO POLIVALENTE TOMÁS ARNALDO HERRERA|8|84|8410||||||2m|71.29490611|69.230920896|73.358891323|68.782558973|75.566103016|62.637139458|68.144434445|67.304730399|65.259174846|71.391267995|65.263748356|70.127769847|75.569104125|62.385354776|72.428850641|1|1|1
3976|LICEO MANUEL BULNES|8|84|8402||||||2m|76.276910928|71.788056001|80.765765854|78.542530891|83.070216887|71.562906337|80.994469451|71.679885025|73.968939106|72.598000417|68.472715553|81.326139205|75.459960289|84.439209579|84.079247746|1|1|1
3977|LICEO SANTA CRUZ DE LARQUI|8|84|8402||||||2m|75.253055662|72.521878926|77.984232398|77.022001089|83.755370916|69.263397144|78.047235207|77.059259625|72.971170495|86.100090248|72.106518132|78.689585883|78.777823665|81.691645287|75.599288697|1|1|1
3998|LICEO POLIVALENTE LUIS CRUZ MARTINEZ|8|84|8413||||||2m|76.126960827|74.006671237|78.247250418|78.591127677|83.609829854|71.808626677|80.354926499|72.721531867|73.126975187|74.69144123|70.346179186|82.36961479|82.160919591|79.795140182|85.152784598|1|1|1
4025|LICEO POLIVALENTE VIRGINIO ARIAS|8|84|8415||||||2m|72.714605593|69.689555887|75.739655298|73.504378223|78.91829699|67.94229437|73.652543309|70.439968881|76.158944979|69.592116872|65.568844792|75.805769971|77.508544595|72.559183721|77.349581597|1|1|1
4032|LICEO NIBALDO SEPULVEDA FERNANDEZ|8|84|8412||||||2m|74.814532673|71.174879056|78.45418629|71.424257526|79.892590629|66.32281902|68.057362931|71.318231256|77.138542668|76.881047031|59.935104069|74.166372342|77.102680016|69.821982566|75.574454444|1|1|1
4043|COLEGIO NUESTRA SEÑORA DEL CARMEN|8|84|8412||||||2m|76.277636708|74.108194621|78.447078794|76.022593731|84.954391828|63.948039068|79.165350296|72.536524155|70.80641119|84.441755501|62.361405775|74.719549439|77.882722788|71.197868692|75.078056839|2|1|1
4049|LICEO DOMINGO ORTIZ DE ROZAS|8|84|8404||||||2m|74.94125048|71.52758097|78.35491999|76.309584612|83.591820341|69.99757095|75.339362545|75.416402745|82.561706373|76.865009263|66.822492599|78.121987885|77.716286988|78.453036791|78.196639877|1|1|1
4084|LICEO POLIVALENTE DIEGO MISSENE BURGOS|8|84|8403||||||2m|71.840801597|69.110186107|74.571417086|67.616554244|71.594073569|62.964908534|68.29068063|63.673608487|65.41684159|68.889679942|56.714303927|73.035213209|74.515543731|68.379000112|76.211095784|1|1|1
4102|LICEO POLIVALENTE CARLOS MONTANE CASTRO|8|84|8414||||||2m|79.577237952|75.363961996|83.790513908|75.372029089|80.971551118|69.19521502|75.949321128|73.267053291|72.680118852|76.066103297|71.054937723|78.11141241|78.273622186|78.92245895|77.138156095|1|1|1
4124|LICEO ARTURO PRAT CHACON|8|84|8408||||||2m|70.94725945|65.745647261|76.148871639|76.258933714|82.678819746|68.518849189|77.579132206|68.087006013|72.077904402|66.790515214|65.392598424|75.085852227|76.427794991|75.860668678|72.969093012|1|1|1
4140|LICEO BICENTENARIO DE EXCELENCIA POLIVA|8|84|8419||||||2m|81.462835|78.675140487|84.250529513|83.521076117|87.018770039|77.564474869|85.979983444|78.776870122|80.797837815|80.629241038|74.903531512|87.176834465|80.155668105|93.524390725|87.850444565|1|2|1
4141|LICEO TÉCNICO PUENTE ÑUBLE|8|84|8419||||||2m|85.639749816|83.672450935|87.607048697|88.02755507|93.843031827|81.199209468|89.040423914|89.59744713|89.883763806|92.778161584|86.130415999|91.823552306|86.611333129|95.646956413|93.212367375|1|1|2
4160|LICEO COMERCIAL CAMILO HENRIQUEZ|8|83|8301|REGIÓN DEL BIOBÍO|BIOBÍO|82|BIOBÍO|LOS ÁNGELES|2m|84.444310038|80.895248701|87.993371375|88.618702435|94.160552304|81.594456268|90.101098733|79.715423903|86.856988441|79.255445279|73.03383799|87.631292896|86.107243895|90.856894956|85.929739835|2|1|1
4162|LICEO COMERCIAL DIEGO PORTALES PALAZUEL|8|83|8301|REGIÓN DEL BIOBÍO|BIOBÍO|82|BIOBÍO|LOS ÁNGELES|2m|71.517016909|69.186719555|73.847314264|73.472202939|81.108913819|65.59505213|73.712642869|67.503002511|73.854283937|67.530431857|61.124291738|73.768821729|72.785361875|74.066482184|74.454621127|1|1|1
4163|LICEO LOS ÁNGELES A-59|8|83|8301|REGIÓN DEL BIOBÍO|BIOBÍO|82|BIOBÍO|LOS ÁNGELES|2m|71.979801411|70.41433456|73.545268262|74.886387408|81.004692867|69.993897325|73.660572032|68.094764478|68.043459134|67.970059668|68.270774633|77.063391637|75.041866165|78.83177502|77.316533727|1|2|1
4164|LICEO COEDUCACIONAL SANTA MARÍA DE LOS|8|83|8301|REGIÓN DEL BIOBÍO|BIOBÍO|82|BIOBÍO|LOS ÁNGELES|2m|75.901372402|73.092888062|78.709856743|80.556068754|87.733014151|72.437300412|81.497891699|69.471406582|68.595418222|72.758942553|67.059858969|80.661614574|77.946767303|82.442645636|81.595430784|1|2|1
4165|LICEO INDUSTRIAL SAMUEL VIVANCO PARADA|8|83|8301|REGIÓN DEL BIOBÍO|BIOBÍO|82|BIOBÍO|LOS ÁNGELES|2m|68.955042149|65.86985729|72.040227009|69.564856602|77.507206165|63.524847669|67.662515971|65.723887529|70.579038667|66.727533506|59.865090415|74.003038683|75.778030837|72.947119533|73.28396568|1|1|1
